countries,paises,ctry_orig,iso_orig,ctry_dest,iso_dest,yr1960,yr1970,yr1980,yr1990,yr2000,yr2010
Argentina,Argentina,Argentina,ARG,Argentina,ARG,0,0,0,0,0,0
Bolivia,Bolivia,Argentina,ARG,Bolivia,BOL,4113,9976,14647,17463,27612,45424
Brazil,Brasil,Argentina,ARG,Brazil,BRA,17814,17026,26427,28161,27553,27700
Chile,Chile,Argentina,ARG,Chile,CHL,11966,12739,18862,32548,45713,82539
Colombia,Colombia,Argentina,ARG,Colombia,COL,943,1418,1730,2142,2654,2570
Costa Rica,Costa Rica,Argentina,ARG,Costa Rica,CRI,146,203,429,656,1103,0
Cuba,Cuba,Argentina,ARG,Cuba,CUB,397,360,206,132,181,164
Dominican Republic,Republica Dominicana,Argentina,ARG,Dominican Republic,DOM,90,809,1502,2291,3221,3940
Ecuador,Ecuador,Argentina,ARG,Ecuador,ECU,540,1004,1563,1661,2183,7394
El Salvador,El Salvador,Argentina,ARG,El Salvador,SLV,109,118,135,146,163,207
Guatemala,Guatemala,Argentina,ARG,Guatemala,GTM,203,267,320,275,345,432
Honduras,Honduras,Argentina,ARG,Honduras,HND,68,31,40,86,139,118
Mexico,Mexico,Argentina,ARG,Mexico,MEX,2480,1638,6004,4417,6564,9508
Nicaragua,Nicaragua,Argentina,ARG,Nicaragua,NIC,70,118,133,142,170,227
Panama,Panama,Argentina,ARG,Panama,PAN,242,456,551,615,811,1154
Paraguay,Paraguay,Argentina,ARG,Paraguay,PRY,27512,24563,37611,47261,64284,59115
Peru,Peru,Argentina,ARG,Peru,PER,2643,3877,4861,4386,3586,2997
Portugal,Portugal,Argentina,ARG,Portugal,PRT,55,144,377,856,1094,1465
Puerto Rico,Puerto Rico,Argentina,ARG,Puerto Rico,PRI,133,392,563,1252,281,0
Spain,España,Argentina,ARG,Spain,ESP,12334,20804,35637,52801,83803,331173
United States,Estados Unidos,Argentina,ARG,United States,USA,17591,55325,77600,106364,133210,163353
Uruguay,Uruguay,Argentina,ARG,Uruguay,URY,27775,23013,16613,18724,25146,22743
Venezuela RB,Venezuela RB,Argentina,ARG,Venezuela  RB,VEN,4240,3827,10340,9580,8733,8533
,,Bolivia,BOL,Argentina,ARG,90166,102092,119671,149439,237213,220869
,,Bolivia,BOL,Bolivia,BOL,0,0,0,0,0,0
,,Bolivia,BOL,Brazil,BRA,9035,10595,12924,15889,20394,20513
,,Bolivia,BOL,Chile,CHL,8514,7135,6088,7247,10556,18707
,,Bolivia,BOL,Colombia,COL,178,345,481,648,772,658
,,Bolivia,BOL,Costa Rica,CRI,39,56,115,169,277,0
,,Bolivia,BOL,Cuba,CUB,117,106,49,20,0,0
,,Bolivia,BOL,Dominican Republic,DOM,7,107,204,313,443,542
,,Bolivia,BOL,Ecuador,ECU,282,526,818,874,707,2094
,,Bolivia,BOL,El Salvador,SLV,9,24,34,42,19,0
,,Bolivia,BOL,Guatemala,GTM,37,66,66,50,85,106
,,Bolivia,BOL,Honduras,HND,17,8,10,22,107,91
,,Bolivia,BOL,Mexico,MEX,3,9,108,1333,1382,2000
,,Bolivia,BOL,Nicaragua,NIC,18,30,34,37,44,59
,,Bolivia,BOL,Panama,PAN,42,94,159,216,193,274
,,Bolivia,BOL,Paraguay,PRY,211,14,437,757,1084,996
,,Bolivia,BOL,Peru,PER,4171,3731,3140,3402,2782,2314
,,Bolivia,BOL,Portugal,PRT,0,0,1,38,0,73
,,Bolivia,BOL,Puerto Rico,PRI,0,2,2,11,21,0
,,Bolivia,BOL,Spain,ESP,87,146,251,889,10641,274602
,,Bolivia,BOL,United States,USA,2340,8903,16256,34385,53658,72890
,,Bolivia,BOL,Uruguay,URY,1624,1346,971,996,360,326
,,Bolivia,BOL,Venezuela  RB,VEN,1047,1399,2068,2367,1840,1798
,,Brazil,BRA,Argentina,ARG,49290,45225,43698,35768,36424,32839
,,Brazil,BRA,Bolivia,BOL,5733,7311,8479,8570,14708,24189
,,Brazil,BRA,Brazil,BRA,0,0,0,0,0,0
,,Brazil,BRA,Chile,CHL,616,891,1788,4311,6877,11820
,,Brazil,BRA,Colombia,COL,1796,1909,1711,1586,1968,1878
,,Brazil,BRA,Costa Rica,CRI,43,55,117,218,408,0
,,Brazil,BRA,Cuba,CUB,6,6,3,2,2,0
,,Brazil,BRA,Dominican Republic,DOM,18,280,533,820,1159,1417
,,Brazil,BRA,Ecuador,ECU,232,431,671,963,1077,3636
,,Brazil,BRA,El Salvador,SLV,43,1,108,187,182,232
,,Brazil,BRA,Guatemala,GTM,64,109,76,82,149,187
,,Brazil,BRA,Honduras,HND,40,18,23,50,171,146
,,Brazil,BRA,Mexico,MEX,6,578,1291,1481,2347,3380
,,Brazil,BRA,Nicaragua,NIC,52,88,99,106,127,170
,,Brazil,BRA,Panama,PAN,115,256,440,638,819,1164
,,Brazil,BRA,Paraguay,PRY,15979,30531,84503,104263,82987,76315
,,Brazil,BRA,Peru,PER,2225,2604,2840,2662,2176,1816
,,Brazil,BRA,Portugal,PRT,1891,4941,12910,23211,48521,70350
,,Brazil,BRA,Puerto Rico,PRI,1,4,6,27,55,0
,,Brazil,BRA,Spain,ESP,4404,7429,12725,13410,26797,162205
,,Brazil,BRA,United States,USA,14821,34273,49875,100962,225330,339141
,,Brazil,BRA,Uruguay,URY,20870,17292,12483,11739,12950,11712
,,Brazil,BRA,Venezuela  RB,VEN,1963,2317,3653,4437,4834,4720
,,Chile,CHL,Argentina,ARG,119505,163943,217368,226327,219104,200969
,,Chile,CHL,Bolivia,BOL,4858,6367,7496,4312,4276,6979
,,Chile,CHL,Brazil,BRA,1686,2032,17657,22095,17155,17236
,,Chile,CHL,Chile,CHL,0,0,0,0,0,0
,,Chile,CHL,Colombia,COL,895,1279,1507,1821,1774,1627
,,Chile,CHL,Costa Rica,CRI,98,449,780,939,1307,0
,,Chile,CHL,Cuba,CUB,26,23,52,72,191,173
,,Chile,CHL,Dominican Republic,DOM,61,576,1073,1639,2306,2821
,,Chile,CHL,Ecuador,ECU,1834,3413,5313,5276,5024,15528
,,Chile,CHL,El Salvador,SLV,138,175,201,218,173,220
,,Chile,CHL,Guatemala,GTM,217,267,265,213,188,236
,,Chile,CHL,Honduras,HND,90,41,53,114,225,191
,,Chile,CHL,Mexico,MEX,10,876,3658,2443,3913,5665
